original_text,flipped_text,negation_removed,true_label,pred_original,pred_flipped,conf_original,conf_flipped,prediction_same,orig_correct,flipped_correct
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ","sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .",no,positive,positive,negative,0.9989,0.9372,0,1,0
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ","parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",neither,positive,positive,positive,0.9995,0.9995,1,1,1
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last movie was poetically romantic and full of indelible images , but his latest has going for it .",nothing,negative,negative,positive,0.9985,0.9972,0,1,0
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,what the director ca do is make either of val kilmer 's two personas interesting or worth caring about .,n't,negative,negative,negative,0.9986,0.9969,1,1,1
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too often , the viewer is reacting to humor so much as they are wincing back in repugnance .",n't,negative,negative,negative,0.9957,0.9966,1,1,1
it 's great escapist fun that recreates a place and time that will never happen again . ,it 's great escapist fun that recreates a place and time that will happen again .,never,positive,positive,positive,0.9997,0.9998,1,1,1
"scores no points for originality , wit , or intelligence . ","scores points for originality , wit , or intelligence .",no,negative,negative,positive,0.9972,0.9979,0,1,0
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is nearly enough fun here , despite the presence of some appealing ingredients .",n't,negative,negative,positive,0.9935,0.9139,0,1,0
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",n't,positive,positive,positive,0.9997,0.9997,1,1,1
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is .",not,positive,positive,positive,0.9997,0.9995,1,1,1
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but stereotyped -- street characters .,not,positive,positive,positive,0.9996,0.9996,1,1,1
it 's not the ultimate depression-era gangster movie . ,it 's the ultimate depression-era gangster movie .,not,negative,negative,positive,0.9977,0.9515,0,1,0
the character of zigzag is not sufficiently developed to support a film constructed around him . ,the character of zigzag is sufficiently developed to support a film constructed around him .,not,negative,negative,positive,0.9986,0.9918,0,1,0
"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ","while ( hill ) has learned new tricks , the tricks alone are enough to salvage this lifeless boxing film .",not,negative,negative,negative,0.9984,0.7266,1,1,1
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,the best that can be said about the work here of scottish director ritchie ... is that he obviously does have his heart in it .,n't,negative,negative,positive,0.9972,0.9991,0,1,0
"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ","about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if deep and psychological .",not,positive,positive,positive,0.9997,0.9997,1,1,1
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did reserve enough for his second .,n't,negative,negative,positive,0.6499,0.5474,0,1,0
"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ","uncommonly stylish but equally silly ... the picture fails to generate much suspense , does it ask searching enough questions to justify its pretensions .",nor,negative,negative,negative,0.9989,0.9988,1,1,1
not exactly the bees knees ,exactly the bees knees,not,negative,negative,negative,0.9858,0.711,1,1,1
"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ","there seems to be clear path as to where the story 's going , or how long it 's going to take to get there .",no,negative,negative,negative,0.9987,0.9937,1,1,1
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ","characters still need to function according to some set of believable and comprehensible impulses , matter how many drugs they do or how much artistic license avary employs .",no,negative,negative,negative,0.93,0.8757,1,1,1
the end result is a film that 's neither . ,the end result is a film that 's .,neither,negative,negative,positive,0.9986,0.9927,0,1,0
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,it seems like i have been waiting my whole life for this movie and now i ca wait for the sequel .,n't,positive,negative,negative,0.7154,0.9902,1,0,0
"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ","determined to be fun , and bouncy , with energetic musicals , the humor did quite engage this adult .",n't,negative,negative,positive,0.9843,0.6411,0,1,0
"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","does offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .",n't,negative,negative,positive,0.9961,0.9633,0,1,0
"unfortunately , it 's not silly fun unless you enjoy really bad movies . ","unfortunately , it 's silly fun unless you enjoy really bad movies .",not,negative,negative,negative,0.9954,0.9847,1,1,1
"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ","i sympathize with the plight of these families , but the movie does do a very good job conveying the issue at hand .",n't,negative,negative,positive,0.9983,0.9994,0,1,0
"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ","though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , the actors nor director reginald hudlin can make it more than fitfully entertaining .",neither,negative,negative,positive,0.9182,0.9639,0,1,0
"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ","try as i may , i ca think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '",n't,negative,negative,negative,0.9919,0.8148,1,1,1
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ","at the very least , if you do know anything about derrida when you walk into the theater , you wo n't know much more when you leave .",n't,negative,negative,negative,0.9933,0.9915,1,1,1
"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ","inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's that , it 's the tension that keeps you in your seat .",not,positive,positive,positive,0.9938,0.9891,1,1,1
"and the lesson , in the end , is nothing new . ","and the lesson , in the end , is new .",nothing,negative,negative,positive,0.9982,0.9901,0,1,0
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ","this is the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .",not,negative,negative,negative,0.9983,0.9991,1,1,1
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ","only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",not,positive,positive,positive,0.9996,0.9996,1,1,1
"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . ","'s at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .",nothing,positive,positive,positive,0.9982,0.9983,1,1,1
"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ","it 's that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation .",not,negative,negative,negative,0.9986,0.9988,1,1,1
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ","whether you like rap music or loathe it , you ca deny either the tragic loss of two young men in the prime of their talent or the power of this movie .",n't,positive,positive,positive,0.9987,0.9902,1,1,1
not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,not,positive,positive,positive,0.998,0.9973,1,1,1
a by-the-numbers effort that wo n't do much to enhance the franchise . ,a by-the-numbers effort that wo do much to enhance the franchise .,n't,negative,negative,positive,0.9986,0.9374,0,1,0
"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ","a full world has been presented onscreen , some series of carefully structured plot points building to a pat resolution .",not,positive,negative,positive,0.8083,0.9974,0,0,1
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . ,one but a convict guilty of some truly heinous crime should have to sit through the master of disguise .,no,negative,negative,negative,0.979,0.9863,1,1,1
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,taylor appears to have blown his entire budget on soundtrack rights and had left over for jokes .,nothing,negative,negative,negative,0.9986,0.9988,1,1,1
`` the time machine '' is a movie that has no interest in itself . ,`` the time machine '' is a movie that has interest in itself .,no,negative,negative,positive,0.9994,0.9992,0,1,0
"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ","it ca decide if it wants to be a mystery/thriller , a romance or a comedy .",n't,negative,negative,negative,0.9987,0.9923,1,1,1
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a dumb movie with dumb characters doing dumb things and you have to be really dumb to see where this is going .,not,negative,negative,negative,0.9988,0.9988,1,1,1
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ","with virtually interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",no,negative,negative,positive,0.9899,0.9969,0,1,0
"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ","it 's so good that its relentless , polished wit can withstand only inept school productions , but even oliver parker 's movie adaptation .",not,positive,positive,positive,0.9987,0.9993,1,1,1
serving sara does n't serve up a whole lot of laughs . ,serving sara does serve up a whole lot of laughs .,n't,negative,negative,positive,0.999,0.9993,0,1,0
"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ","the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do enable them to discern flimsy screenplays .",n't,negative,negative,negative,0.9737,0.8944,1,1,1
"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ","all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but necessarily with us .",not,positive,positive,positive,0.9997,0.9997,1,1,1
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ","with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is a redeeming moment here .",n't,negative,negative,positive,0.998,0.9986,0,1,0
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ","in an effort , i suspect , to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .",not,negative,negative,negative,0.9957,0.9986,1,1,1
no way i can believe this load of junk . ,way i can believe this load of junk .,no,negative,negative,negative,0.9982,0.9981,1,1,1
"not only unfunny , but downright repellent . ","only unfunny , but downright repellent .",not,negative,negative,negative,0.9983,0.9978,1,1,1
"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has fresh or particularly interesting to say about them .",nothing,negative,negative,positive,0.9988,0.8531,0,1,0
there is no pleasure in watching a child suffer . ,there is pleasure in watching a child suffer .,no,negative,negative,positive,0.9915,0.9803,0,1,0
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ","jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are the wiser and jason still kills on auto-pilot .",none,negative,negative,positive,0.9024,0.528,0,1,0
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,stealing harvard aspires to comedic grand larceny but stands convicted of more than petty theft of your time .,nothing,negative,negative,negative,0.9931,0.9907,1,1,1
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,( d ) oes bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .,n't,positive,negative,negative,0.99,0.9967,1,0,0
it 's a grab bag of genres that do n't add up to a whole lot of sense . ,it 's a grab bag of genres that do add up to a whole lot of sense .,n't,negative,negative,positive,0.9991,0.9974,0,1,0
not since freddy got fingered has a major release been so painful to sit through . ,since freddy got fingered has a major release been so painful to sit through .,not,negative,negative,negative,0.9966,0.9978,1,1,1
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai pretty .",n't,negative,negative,negative,0.9991,0.9619,1,1,1
we have n't seen such hilarity since say it is n't so ! ,we have seen such hilarity since say it is n't so !,n't,positive,positive,positive,0.823,0.9908,1,1,1
nothing is sacred in this gut-buster . ,is sacred in this gut-buster .,nothing,negative,negative,positive,0.9798,0.9237,0,1,0
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,a great ensemble cast ca lift this heartfelt enterprise out of the familiar .,n't,negative,negative,positive,0.8128,0.9998,0,1,0
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting . ","whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or of the above , it is as seductive as it is haunting .",none,positive,positive,positive,0.9949,0.9974,1,1,1
another in-your-face wallow in the lower depths made by people who have never sung those blues . ,another in-your-face wallow in the lower depths made by people who have sung those blues .,never,negative,negative,negative,0.9711,0.9059,1,1,1
"despite its title , punch-drunk love is never heavy-handed . ","despite its title , punch-drunk love is heavy-handed .",never,positive,positive,negative,0.9986,0.7678,0,1,0
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ","if director michael dowse only superficially understands his characters , he does hold them in contempt .",n't,negative,positive,negative,0.9953,0.9692,0,0,1
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . ,it 's refreshing to see a girl-power movie that does feel it has to prove anything .,n't,positive,positive,positive,0.9981,0.9984,1,1,1
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ","i do mind having my heartstrings pulled , but do n't treat me like a fool .",n't,negative,positive,positive,0.9474,0.9375,1,0,0
