model,attack,seed,original_text,perturbed_text,true_label,original_pred,perturbed_pred,original_correct,attack_success,n_words_changed,pct_words_changed,use_similarity
bert-tiny,textfooler,42,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a glamorous , high-spirited musicals from indio that impeccably cocktail singers , dance , ditty , and lofty catastrophic . ",1,1,0,1,1,9,0.45,0.5649
bert-tiny,textfooler,42,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the sentiment are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,0,1,1,1,0.0556,0.901
bert-tiny,textfooler,42,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her infuriating charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,0,1,1,1,0.0312,0.9897
bert-tiny,textfooler,42,... the movie is just a plain old monster . ,... the visuals is just a prairies old monster . ,0,0,1,1,1,2,0.2,0.6064
bert-tiny,textfooler,42,"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a injurious high school production of grease , without benefit of song . ",0,0,1,1,1,1,0.0526,0.9177
bert-tiny,textfooler,42,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an asymmetrical tone that you never know when humor ends and tragedy begins . ",0,0,1,1,1,1,0.0312,0.9922
bert-tiny,textfooler,42,the iditarod lasts for days - this just felt like it did . ,the iditarod lasts for zi - this just judged like it did . ,0,0,1,1,1,2,0.1538,0.6961
bert-tiny,textfooler,42,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and outlandish thriller filled with baffled , read my lips is an original . ",1,1,0,1,1,2,0.125,0.9336
bert-tiny,textfooler,42,seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a photographing so strenuously matched the mental of a man and his work . ,1,1,0,1,1,3,0.1875,0.6881
bert-tiny,textfooler,42,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from ancient parody to sexy sex gags to formula romantic comedy . ",0,0,1,1,1,2,0.0741,0.9828
bert-tiny,textfooler,42,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between final and present , but the corporeal bonded is too tenuous to berth the emotional connections that purport to embracing a 125-year divide . ",0,0,1,1,1,5,0.1786,0.8175
bert-tiny,textfooler,42,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat cure that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,0,1,1,1,0.0435,0.9229
bert-tiny,textfooler,42,"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter visuals , a cut-and-paste job . ",0,0,1,1,1,1,0.1,0.894
bert-tiny,textfooler,42,i had to look away - this was god awful . ,i had to look away - this was god outrageous . ,0,0,1,1,1,1,0.0909,0.9009
bert-tiny,textfooler,42,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","acknowledgment to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most undoubted variations on in the company of men . ",1,1,0,1,1,2,0.0714,0.881
bert-tiny,textfooler,42,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous shudders . ",0,0,1,1,1,1,0.04,0.9607
bert-tiny,textfooler,42,"a gorgeous , witty , seductive movie . ","a super , erudite , luscious movie . ",1,1,0,1,1,3,0.375,0.6096
bert-tiny,textfooler,42,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself , it has no sense of humor ... it 's just plain piercing . ",0,0,1,1,1,1,0.05,0.763
bert-tiny,textfooler,42,a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of ironic shoot - 'em - up scenes . ,0,0,1,1,1,1,0.0909,0.8647
bert-tiny,textfooler,42,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the hypnotize embedded in the lurid topic prove recommendation enough . ",1,1,0,1,1,1,0.0385,0.937
bert-tiny,textfooler,42,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( p ) hile most on amiable orangutan and worthy environmentalism , juana goodall 's wild chimpanzees is brief on the thrills the oversize medium demands . ",0,0,1,1,1,5,0.1852,0.7706
bert-tiny,textfooler,42,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as puzzling as a slumber and as itemized as a photograph , as eyesight dexterous as it is at hour imaginatively overwhelming . ",1,1,0,1,1,5,0.2174,0.769
bert-tiny,textfooler,42,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is frankly affecting and so is this adroitly minimalist movie . ",1,1,0,1,1,1,0.0625,0.9705
bert-tiny,textfooler,42,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... gargantuan energy from the cast , a sense of condescension and excitement that seems appropriate . ",1,1,0,1,1,2,0.1053,0.8016
bert-tiny,textfooler,42,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this lucid documentary overstepped our preconceived vision of the holy land and its inhabitants , indicative the human complexities beneath . ",1,1,0,1,1,3,0.1429,0.8947
bert-tiny,textfooler,42,holm ... embodies the character with an effortlessly regal charisma . ,madsen ... embodies the character with an immediately regal charisma . ,1,1,0,1,1,2,0.1818,0.7162
bert-tiny,textfooler,42,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters , but the jaded human backside the cams as well . ",0,0,1,1,1,4,0.2105,0.6802
bert-tiny,textfooler,42,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a synthesis of cliches and frailties that seems positively decadent in its cinematic flash and bereft . ,0,0,1,1,1,2,0.1176,0.8645
bert-tiny,textfooler,42,a subtle and well-crafted ( for the most part ) chiller . ,a inconspicuous and well-crafted ( for the most chunks ) chiller . ,1,1,0,1,1,2,0.1667,0.87
bert-tiny,textfooler,42,has a lot of the virtues of eastwood at his best . ,has a lot of the prerogatives of eastwood at his more . ,1,1,0,1,1,2,0.1667,0.7973
bert-tiny,textfooler,42,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it 's impair by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,1,1,1,1,0.05,0.8791
bert-tiny,textfooler,42,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it esteem like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 record . ",0,0,1,1,1,2,0.0571,0.8956
bert-tiny,textfooler,42,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most chunks , director anne-sophie birot 's first feature is a difficult , extraordinarily well-acted drama . ",1,1,0,1,1,2,0.1053,0.9236
bert-tiny,textfooler,42,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,sade is an embroiled look at the controversial eponymous and fiercely atheistic hero . ,1,1,0,1,1,1,0.0714,0.9811
bert-tiny,textfooler,42,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,so bereft of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,0,0,1,1,1,1,0.0476,0.9224
bert-tiny,textfooler,42,"a tender , heartfelt family drama . ","a furnishes , impassioned spousal drama . ",1,1,0,1,1,3,0.4286,0.6269
bert-tiny,textfooler,42,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,... a bereft entertaining told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0,0,1,1,1,2,0.0909,0.8364
bert-tiny,textfooler,42,the cold turkey would 've been a far better title . ,the coolest turkey would 've been a far better title . ,0,0,1,1,1,1,0.0909,0.8433
bert-tiny,textfooler,42,manages to be both repulsively sadistic and mundane . ,manages to be both repulsively sadistic and commonplace . ,0,0,1,1,1,1,0.1111,0.9124
bert-tiny,textfooler,42,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly observable -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0,0,1,1,1,1,0.0312,0.9412
bert-tiny,textfooler,42,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a story of two misfits who do n't stand a chance alone , but together they are unbelievable . ",1,1,0,1,1,1,0.0476,0.9156
bert-tiny,textfooler,42,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","colson has to find some hook on which to hang his consistently ineffectual movies , and it might as well be the resuscitation of the middle-aged character . ",0,0,1,1,1,3,0.1071,0.6736
bert-tiny,textfooler,42,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and selfless . ",1,1,0,1,1,1,0.0385,0.9179
bert-tiny,textfooler,42,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's quivering pace and foot-dragging rhythms follow . ",0,0,1,1,1,1,0.0625,0.9759
bert-tiny,textfooler,42,you wonder why enough was n't just a music video rather than a full-length movie . ,you wonder why enough was n't just a music video rather than a full-length visuals . ,0,0,1,1,1,1,0.0625,0.9697
bert-tiny,textfooler,42,"a fast , funny , highly enjoyable movie . ","a fast , outlandish , highly agreeable stills . ",1,1,0,1,1,3,0.3333,0.4865
bert-tiny,textfooler,42,"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to overlook , even for horror movie fanatics . ",0,0,1,1,1,1,0.0714,0.7076
bert-tiny,textfooler,42,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","devilishly equilibrium in mood winces and dialogue , this chamber drama is terribly acted by the deeply appealing old baka and the freezer but too humanitarian berling . ",1,1,0,1,1,9,0.3214,0.7113
bert-tiny,textfooler,42,uses high comedy to evoke surprising poignance . ,uses high comedy to evoke unbelievable poignance . ,1,1,0,1,1,1,0.125,0.9297
bert-tiny,textfooler,42,a string of rehashed sight gags based in insipid vulgarity . ,a string of rehashed sight hilarious based in insipid vulgarity . ,0,0,1,1,1,1,0.0909,0.8636
bert-tiny,textfooler,42,among the year 's most intriguing explorations of alientation . ,among the year 's most puzzling explorations of alientation . ,1,1,0,1,1,1,0.1,0.8466
bert-tiny,textfooler,42,the movie fails to live up to the sum of its parts . ,the movie overlooks to live up to the sum of its parts . ,0,0,1,1,1,1,0.0769,0.5478
bert-tiny,textfooler,42,the son 's room is a triumph of gentility that earns its moments of pathos . ,the son 's room is a conquest of gentility that deserve its moments of pathos . ,1,1,0,1,1,2,0.125,0.8879
bert-tiny,textfooler,42,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing unpaid about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,1,0,1,1,1,0.0323,0.9479
bert-tiny,textfooler,42,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the lavatories in prefers of radiant flashes and loud bangs . ,0,0,1,1,1,3,0.0682,0.9619
bert-tiny,textfooler,42,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,the draw ( for `` big bad love '' ) is a stabilize performance by arliss howard . ,1,1,0,1,1,1,0.0556,0.9096
bert-tiny,textfooler,42,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","green might want to hang onto that ski mask , as shoplifting may be the only way to pay for his next intends . ",0,0,1,1,1,2,0.0833,0.9285
bert-tiny,textfooler,42,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,it 's one pussy-ass world when encore killer-thrillers revolve around group therapy sessions . ,0,0,1,1,1,1,0.0714,0.9736
bert-tiny,textfooler,42,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ","the band 's dauntless in the face of official repression is motivating , especially for aging hippies ( this one included ) . ",1,1,0,1,1,2,0.087,0.8183
bert-tiny,textfooler,42,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,the movie derives as great an consequences by keeping these thoughts hidden as ... ( quills ) did by showing them . ,1,1,0,1,1,2,0.0909,0.9314
bert-tiny,textfooler,42,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the film parable lines when it should peak and is more missed ability and petite than misty , ramshackle nose . ",0,0,1,1,1,6,0.2857,0.6874
bert-tiny,textfooler,42,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,jaglom ... put ( s ) the audience in the prerogative position of eavesdropping on his characters ,1,1,0,1,1,1,0.0588,0.9466
bert-tiny,textfooler,42,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ","it 's a scattershot affair , but when it hits its mark it 's glossy . ",1,1,0,1,1,1,0.0625,0.821
bert-tiny,textfooler,42,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ","hardly a mainstay , but it introduces viewers to a good charitable enterprise and some interesting real people . ",1,1,0,1,1,1,0.0526,0.9012
bert-tiny,textfooler,42,"you wo n't like roger , but you will quickly recognize him . ","you wo n't like roger , but you will timely recognize him . ",0,0,1,1,1,1,0.0769,0.9412
bert-tiny,textfooler,42,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this dazzling world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,0,1,1,1,1,0.0385,0.9897
bert-tiny,textfooler,42,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 's delicate to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0,1,1,1,1,0.0357,0.9748
bert-tiny,textfooler,42,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the movie rarity wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0,1,1,1,1,0.0476,0.8505
bert-tiny,textfooler,42,why make a documentary about these marginal historical figures ? ,why make a documentary about these modest historical numerals ? ,0,0,1,1,1,2,0.2,0.6711
bert-tiny,textfooler,123,it 's a charming and often affecting journey . ,it 's a mignon and often affecting nomad . ,1,1,0,1,1,2,0.2222,0.3925
bert-tiny,textfooler,123,unflinchingly bleak and desperate ,unflinchingly somber and desperate ,0,0,1,1,1,1,0.25,0.8285
bert-tiny,textfooler,123,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,activate us to hope that nolan is poised to embark a major career as a commercial yet shrewd filmmaker . ,1,1,0,1,1,2,0.1,0.9379
bert-tiny,textfooler,123,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , disguises , music , cinematography and sound are all extraordinaire given the production 's austere locales . ",1,1,0,1,1,2,0.1,0.8533
bert-tiny,textfooler,123,"it 's slow -- very , very slow . ","it 's lent -- very , very lent . ",0,0,1,1,1,2,0.2222,0.0584
bert-tiny,textfooler,123,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful afflicting , the film is a fortunately serious look at young women . ",1,1,0,1,1,2,0.0952,0.9613
bert-tiny,textfooler,123,a sometimes tedious film . ,a sometimes uphill film . ,0,0,1,1,1,1,0.2,0.6653
bert-tiny,textfooler,123,or doing last year 's taxes with your ex-wife . ,or doing last year 's honorarium with your ex-wife . ,0,0,1,1,1,1,0.1,0.8494
bert-tiny,textfooler,123,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to recognising the film 's easygoing blend of comedy and romance . ,1,1,0,1,1,1,0.05,0.9578
bert-tiny,textfooler,123,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 record , most of which passed as slowly as if i 'd been sitting naked on an igloo , articulation 51 sank from quirky to parched to utter constantinople . ",0,0,1,1,1,4,0.1212,0.7848
bert-tiny,textfooler,123,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesmerizing performances of the leads keep the film grounded and upheld the audience petrified . ,1,1,0,1,1,2,0.125,0.8831
bert-tiny,textfooler,123,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to vandalize the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,1,1,1,0.0333,0.9367
bert-tiny,textfooler,123,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the visuals heartbreak from a lack of wry ( something needed to balanced out the bestiality ) ... ,0,0,1,1,1,5,0.2632,0.6959
bert-tiny,textfooler,123,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie rarity both thrills and humor . ,0,0,1,1,1,1,0.04,0.947
bert-tiny,textfooler,123,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a glamorous , high-spirited musicals from indio that impeccably cocktail singers , dance , ditty , and lofty catastrophic . ",1,1,0,1,1,9,0.45,0.5649
bert-tiny,textfooler,123,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the sentiment are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,0,1,1,1,0.0556,0.901
bert-tiny,textfooler,123,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her infuriating charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,0,1,1,1,0.0312,0.9897
bert-tiny,textfooler,123,... the movie is just a plain old monster . ,... the visuals is just a prairies old monster . ,0,0,1,1,1,2,0.2,0.6064
bert-tiny,textfooler,123,"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a injurious high school production of grease , without benefit of song . ",0,0,1,1,1,1,0.0526,0.9177
bert-tiny,textfooler,123,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an asymmetrical tone that you never know when humor ends and tragedy begins . ",0,0,1,1,1,1,0.0312,0.9922
bert-tiny,textfooler,123,the iditarod lasts for days - this just felt like it did . ,the iditarod lasts for zi - this just judged like it did . ,0,0,1,1,1,2,0.1538,0.6961
bert-tiny,textfooler,123,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and outlandish thriller filled with baffled , read my lips is an original . ",1,1,0,1,1,2,0.125,0.9336
bert-tiny,textfooler,123,seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a photographing so strenuously matched the mental of a man and his work . ,1,1,0,1,1,3,0.1875,0.6881
bert-tiny,textfooler,123,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from ancient parody to sexy sex gags to formula romantic comedy . ",0,0,1,1,1,2,0.0741,0.9828
bert-tiny,textfooler,123,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between final and present , but the corporeal bonded is too tenuous to berth the emotional connections that purport to embracing a 125-year divide . ",0,0,1,1,1,5,0.1786,0.8175
bert-tiny,textfooler,123,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat cure that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,0,1,1,1,0.0435,0.9229
bert-tiny,textfooler,123,"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter visuals , a cut-and-paste job . ",0,0,1,1,1,1,0.1,0.894
bert-tiny,textfooler,123,i had to look away - this was god awful . ,i had to look away - this was god outrageous . ,0,0,1,1,1,1,0.0909,0.9009
bert-tiny,textfooler,123,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","acknowledgment to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most undoubted variations on in the company of men . ",1,1,0,1,1,2,0.0714,0.881
bert-tiny,textfooler,123,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous shudders . ",0,0,1,1,1,1,0.04,0.9607
bert-tiny,textfooler,123,"a gorgeous , witty , seductive movie . ","a super , erudite , luscious movie . ",1,1,0,1,1,3,0.375,0.6096
bert-tiny,textfooler,123,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself , it has no sense of humor ... it 's just plain piercing . ",0,0,1,1,1,1,0.05,0.763
bert-tiny,textfooler,123,a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of ironic shoot - 'em - up scenes . ,0,0,1,1,1,1,0.0909,0.8647
bert-tiny,textfooler,123,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the hypnotize embedded in the lurid topic prove recommendation enough . ",1,1,0,1,1,1,0.0385,0.937
bert-tiny,textfooler,123,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( p ) hile most on amiable orangutan and worthy environmentalism , juana goodall 's wild chimpanzees is brief on the thrills the oversize medium demands . ",0,0,1,1,1,5,0.1852,0.7706
bert-tiny,textfooler,123,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as puzzling as a slumber and as itemized as a photograph , as eyesight dexterous as it is at hour imaginatively overwhelming . ",1,1,0,1,1,5,0.2174,0.769
bert-tiny,textfooler,123,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is frankly affecting and so is this adroitly minimalist movie . ",1,1,0,1,1,1,0.0625,0.9705
bert-tiny,textfooler,123,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... gargantuan energy from the cast , a sense of condescension and excitement that seems appropriate . ",1,1,0,1,1,2,0.1053,0.8016
bert-tiny,textfooler,123,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this lucid documentary overstepped our preconceived vision of the holy land and its inhabitants , indicative the human complexities beneath . ",1,1,0,1,1,3,0.1429,0.8947
bert-tiny,textfooler,123,holm ... embodies the character with an effortlessly regal charisma . ,madsen ... embodies the character with an immediately regal charisma . ,1,1,0,1,1,2,0.1818,0.7162
bert-tiny,textfooler,123,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters , but the jaded human backside the cams as well . ",0,0,1,1,1,4,0.2105,0.6802
bert-tiny,textfooler,123,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a synthesis of cliches and frailties that seems positively decadent in its cinematic flash and bereft . ,0,0,1,1,1,2,0.1176,0.8645
bert-tiny,textfooler,123,a subtle and well-crafted ( for the most part ) chiller . ,a inconspicuous and well-crafted ( for the most chunks ) chiller . ,1,1,0,1,1,2,0.1667,0.87
bert-tiny,textfooler,123,has a lot of the virtues of eastwood at his best . ,has a lot of the prerogatives of eastwood at his more . ,1,1,0,1,1,2,0.1667,0.7973
bert-tiny,textfooler,123,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it 's impair by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,0,1,1,1,1,0.05,0.8791
bert-tiny,textfooler,123,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it esteem like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 record . ",0,0,1,1,1,2,0.0571,0.8956
bert-tiny,textfooler,123,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most chunks , director anne-sophie birot 's first feature is a difficult , extraordinarily well-acted drama . ",1,1,0,1,1,2,0.1053,0.9236
